No,Tweet,Label
39,"@StefanusSugik Tiki aja 3 hari nus, ini uda super express. barang tanpa lecet, sampai tepat tujuan, tepat waktu :p",Positif
40,Smartphone dgn harga terjangkau namun fasilitasnya uda kece abis. Yuk yg pecinta oppo segera merapat. By line : diajengpitaa :) ,Positif
41,Mau beli jam berkualitas dengan pilihan berjibun dan harga sangat terjangkau MAKOnyo beli di sini sajo :P @aLnimagz,Positif
42,"Selamat pagi :) buat yang mau beli kaos, celana, jaket, sepatu, waistbag dll dengan harga terjangkau langsung... http://fb.me/3SglgibKx ",Positif
43,Halo Mimin @Kartu_As makasih ya kiriman pulsa 250rb nyaa yaaaa.... Puas banget dengan sinyal Telkomsel ini :) ,Positif
44,beberapa bukti pelanggan puas dengan kiriman nya :) ayo gaisss siapa lagi yang mu order? TERBATAS!!! ,Positif
45,"@bukabuku thx bgt, kiriman bukunya om alit @shitlicious udah nyampe dengan selamat, puas deh ngordernya :)",Positif
46,"@zlippery kiriman sudah aman di genggaman bos! Terima kasih banyak, senang berbisnis dengan anda. Puas! Hehe. :D",Positif
47,"[TESTIMONI] Makasih say, di tunggu order selanjutnya :) ",Positif
48,"Puas sekali dengan orang kiriman telkom buat betulin speedy. Kerjanya bagus, komunikatif, orangnya ramah dan baru ini menolak dibayar :D",Positif
49,"Makasih yah buat yang udah order, kita siapkan packing dan shipping. Kalian luar biasa gais. Yuk yang mau jadi reseller :)",Positif
50,"mantap banget gan kadonya, iPhone 4+2=6. Makasih banyak, Pak. : )",Positif
51,"mantap kak, makasih udah order di Visval :)",Positif
52,makasih infonye gan saya cukup puas :),Positif
53,dah di tf gan makasih ya puas saya : ) pankapan order lg : ) ,Positif
54,"Haturnuhun,terimakasih atas ordernya Bigo Live Community. Semoga puas .. ditunggu order berikutnya :)",Positif
55,makasih ya btw :) puas order moodboard nya,Positif
56,Alhamdulillah tidak mengecewakan dan konsumen puas atas hasilnya :-) yuk siapa lagi yang order Tas tren masa kini Rp. 25.000,Positif
57,@MrdckStuff makasih murdockstuff brg'a sudah sampe dan tidak mengecewakan nanti mau order lg akh :) makasih ya ,Positif
58,makasih sist barangnya udah sampe tadi sore :) tidak mengecewakan.. dan ini order yg kedua kali.. :) @blueonshoppp,Positif
59,"Thanks gan order lgi ya :)RT@26_store ""@Amriambii: Makasih , puas dengan layanan COD nya :D https://twitter.com/Amriambii/status/480306983846051841/photo/1pic.twitter.com/J26YqvFuQQ """,Positif
60,"@sugih_sunjaya iya, semoga tidak mengecewakan warga jakarta ya mie bondingnya hehe, makasih juga udah order :)",Positif
61,makasih ya om jersey juve nya udh mendrat dng mulus ajibbb puas deh gan next order deh :-). @soccerbandit,Positif
62,"Habis uas pake testi di twitter segala, kyk abis beli di jubel online aja (n).. Gan makasih barangnya udh dtg puas deh next order lgi deh :D",Positif
63,haha sama2 gan :) RT @AbnerYodana: di jamin puas order di @Blank48Store makasih ya gan hehehe,Positif
64,"mantapp..jgn bosen order dikita gan :D @eddysunardy @quen_sport22 makasih gan udah nyampe jerseynya,hasilnya puas...sukses gan",Positif
65,"Sama sama gan , di tunggu order nya lagi :) RT @FauzanMukarrom: Gan makasih banyak barang udah nyampe.. Puas ... http://m.tmi.me/JwVHi ",Positif
66,Alhamdulillah kue sesuai pesanan.. Tidak mengecewakan pelanggan.. Makasih ya yg udh order.. :),Positif
67,"@OnlineStoreID makasih ya gan, baju nya udah nyampe dengan rapi. Barangnya bagus, gak mengecewakan, ga nyesel dah order disini :)",Positif
68,"mw lapor min @HAHAHA_store , dvd majelis tidak alim order 4783 udah sampe!!! makasih yaak :D ",Positif
69,"Asiik..makasih ya ditunggu next order :) RT @Riyanto_VCC Terima kasih gan, barang udah sampe dg selamat :-) ",Positif
70,"sama2, dtunggu order selanjutny :) ""@EHPurwantara: @jongenkomik orderan saya udh sampe gan. Mantap nih, makasih gan^^ ",Positif
71,"makasih om sudah sempat order lagi hari ini,semoga om tidak merasa kecewa. dan merasa puas dengan kaos dan layanan kami :D. makasih OM :D",Positif
72,"@tesujana waini si agan,ane sndri udh lpa agan brpa kali order jersey di saya :)) Makasih banyak gan :D",Positif
73,"Sama2, Makasih suda order ya :) RT @arrozaAlfanA7x @vanD_Jrs terima kasih gan hasilnya cukup memuaskan https://twitter.com/arrozaAlfanA7x/status/611105873897783296/photo/1pic.twitter.com/bFT7Y5Y8ZP ",Positif
74,"sip makasih udh order :) RT @AryantoStefanu @shirtlova gan paket udah sampai, makasih gan ",Positif
75,"Sip gan sama sama :) ""@sanabila3: nuppusruns : Okee makasih udah di order. Pfffttt -__-""",Positif
76,"Terima kasih sudah order bang :D ""@aliiffz: makasih gan,barangnya kerenn nihh.maaf telat ngasih testimoninya ya hehe https://twitter.com/aliiffz/status/595515237782065152/photo/1pic.twitter.com/IKBx4qaBO3 """,Positif
77,"Makasih suda order gan, kapan2 lg yah :)) RT @48_Jidan @vanD_Jrs Udah nyampe gan :v ",Positif
78,"@48_Jidan selasa atau rabu sampe. kalo barang uda sampe kabarin ya, minta tolong difotoin trus mention ke sini ya gan . Makasih uda order :)",Positif
79,"@SellFollowerss keren dehh percaya aku gan, makasih banyak. Nanti order lagi :)",Positif
80,"Siap kak makasih ya sudah order :) kabarin tmennya yg mau juga :p RT @elsailaa @vanD_Jrs gan dah sampe,thanks yaa ",Positif
81,"@ObatGaptek oh gitu, jadi gak terlalu signifikan perbedaannya ya gan, aku udah nemu di tokopedia, rencana mau order makasih infonya gan.. :)",Positif
82,@gabby_X_gabby ha ha ha makasih banyak loh sist. Semoga barangnya tidak mengecewakan :)) wkwkw,Positif
83,"Dibrandnya tinggal ukuran s, ok deh makasih min""@QueenBeerStore: Langsung ke brand nya aja kita tidak melayani order online :) @Tubagusser:",Positif
84,"Makasih juga gan sudah order di kita :D RT@wiriastakadek: Kaosnya udah nyampe gan @FanKopites , thank's",Positif
85,Siyap nuhun di tunggu next order gans :)) RT @RizqiiSudibyo: @MysoccerstoreID makasih gan barangnya bagus https://twitter.com/RizqiiSudibyo/status/571627557730324481/photo/1pic.twitter.com/CERRlr8Wyx ,Positif
86,"Maaf baru buka twit, iya sama"" alhamdllh klo gtu say :) ""@sintasamey: Ba des makasih barang nya bagus tidak mengecewakan @DSulviani""",Positif
87,makasih ditunggu next order :) RT @eivut: @4EverUpdateShop mantap gan barang udh nyampe. Thanks ya https://twitter.com/eivut/status/570197553800556544/photo/1pic.twitter.com/M1RKWfq5vv ,Positif
88,Klasik nylon telah di lamar dan di sungkem oleh agan yg 1 ini :D makasih gan Mau juga? Order yuk :) http://instagram.com/p/zRRr69Be3c/ ,Positif
89,"sama2 gan :) ditunggu next order RT @satriaws_: @RedmenStore wah baiknya, makasih ya :))",Positif
90,"Sama2 gan.. makasih sudah order..:) @Andryelnino: @ye_store thanks gan, barang pesanan udah sampe ",Positif
91,Siap gan makasih ud order yaa :) RT @El_muzZammil @vanD_Jrs brang brusan sampe gan.. Mksih!! Gak mngcwakn.. :) ... http://tmi.me/1eY17s ,Positif
92,"Alhamdulillah! RT @nurhaya87663411 Makasih ya @nonaaprilstore paketnya sudah sampai , TIDAK MENGECEWAKAN :D ",Positif
93,"Makasih ya @nonaaprilstore paketnya sudah sampai , TIDAK MENGECEWAKAN :D ",Positif
94,"Terima kasih sudah order, ditunggu order berikutnya bro :) @wawirss Makasih gan udah sempetin codnya @itsgoldensky",Positif
95,"Siap gaan makasih ud order, ditunggu orderan slanjutnya :)))) :D RT @rafli_22 @vanD_Jrs thx gan udah sampe ",Positif
96,"Siap gan makasih ud order :) RT @WhoAm_I14 @vanD_Jrs maaf bang,hampir lupa,barangnya udh nyampe dgn gagah ... http://tmi.me/1eVZn8 ",Positif
97,"@mpzmpz makasih banyak gan pp dedek jina nya dah nyampe :) recommend seller , tunggu next order ane :) ",Positif
98,"Sama2 gan ,siaap :D ""@akbarbar_m: @KiosPecintaBola gan makasih gan,,,barang datang dengan selamat,,bagus gan, kapan"" bisa order lagi gan ok",Positif
99,"Gan @79Jersey, ane udah order untum kedua kalinya, hasilnya memuaskan banget :D. Makasih yaa gan ",Positif
100,"@CPJersey gan jerseynya udah sampe nih makasih hehe, kapan2 order lagi :D",Positif
101,"Siap makasih ud order gan RT @TegarPurnama makasih ya bro @vanD_Jrs jerseynya, maaf baru mensyong :)) ",Positif
102,"""@Jaket_SportID: Tengkui bro udh Order :) RT @sein_husein: @Jaket_SportID ok makasih gan udh nyampe nih """"",Positif
103,Makasih uda order gan :D yuk order lagi heheRT @alvin1412 @vanD_Jrs nyampe dengan selamat gan ganteng. Trusteedd ,Positif
104,"Wuih keren gan... ""@okilhamsyah: Sampai manado :) makasih gan udah order sama kami @22JerseyBola",Positif
105,"wah mantapp, ditunggu orderannya lg :) RT @nandayousvitaa2: sudh nyampe gan :D makasih ya nanti order lagi :) https://twitter.com/nandayousvitaa2/status/528103401528123392/photo/1pic.twitter.com/ZyPBBFkFTC ",Positif
106,"Makasih sudah order gan :) RT @deyesung Thanks @vanD_Jrs stickernya, kapan2 order lagi deh https://twitter.com/deyesung/status/524759029701042176/photo/1pic.twitter.com/oSvgfIF2Nh ",Positif
107,Siap gan makasih yaa sudah order :)) RT @DagDigDugDeerr @vanD_Jrs nih gan.. Makasih yee.. ,Positif
108,"@AMYudantira Oke makasih sudah order, pesanan di proses. Pengirimin barang hari senin ya gan. Terimakasih :)",Positif
109,@GOGRAB_JERSEY makasih gan :D order 2x cepet & fast respon (Y) #RecommendedSeller pic.twitter.com/PtNAcXHKXa,Positif
110,thanks to @iwearzule barang nya bagus dan tidak mengecewakan :) Makasih banyak,Positif
111,"SIAP!!! RT @FH17_Official: CPJersey gan jerseynya udah sampe nih hehe, makasih gan kapan2 order lagi :D ",Positif
112,"Siap gan, makasih ud order :) RT @Andradorable48 @vanD_Jrs barang nya udah nyampe gan https://twitter.com/Andradorable48/status/520140805319557120/photo/1pic.twitter.com/YeWuR98k5v ",Positif
113,"Woke gan. Thanks ya udh order :) AWUUUUUUUUU RT @SuperDestiansa @shirtlova Min paket ane udh nyampe , makasih ya . Photonya entar nyusul",Positif
114,"sama sama gaan,ditunggu order berikutnya hehe :D @irfan_satria27 @SatuBaju makasih gan.. kaos polaroidnya sudah sampai.. prosesnya cepat s",Positif
115,@budizoe gan itu kepanjangannya ganteng kan? haha makasih.. :D order 2 truk gan..,Positif
116,Yupp :)) RT @Rastafahriii: U'r welcome Min RT @SugaliApparel: @Rastafahriii makasih y gan udah order kaos wpap iwan fals kitaa,Positif
117,Makasih ud order :) RT @agungprakoso21 Makasih Gan barangnya nyampe dengan baik Gak nyesel gan @vanD_Jrs ,Positif
118,"Makasih Agan Adi sdh order :) ""@adinugtomz: @itsbremy jaketnya recomended gan,thanks """,Positif
119,U'r welcome Min RT @SugaliApparel: @Rastafahriii makasih y gan udah order kaos wpap iwan fals kitaa. Ditunggu orderan selanjutnya yaakkk :)),Positif
120,"selamat tidur , alhamdulilah makasih sis/gan yang udah order di adhellisa shop .. :)",Positif
121,@Rastafahriii makasih y gan udah order kaos wpap iwan fals kitaa. Ditunggu orderan selanjutnya yaakkk :)),Positif
122,"@DimazPJunior yg sya order haruka fg red non cu tpi malah d kirim yg cu, tpi gk apa dah yg pnting sya senang, makasih ya gan :D",Positif
123,"@FK_Jersey Hadiah kuis sudah sampai, makasih gan. Kece bgt jerseynya :-), semoga makin banyak yg order, sukses selalu ",Positif
124,"Sama2 gan, makasih udah order kiwkiw :D RT @Lyenadeelfy Barang sudah sampe ditangan gan @JaketBolaBdg ,,mksh",Positif
125,Makasih ud order ya broo :)) RT @coolamatsuri @vanD_Jrs thanks gan paketnya mendarat dengan selamat..!!!,Positif
126,Wih difotoin segala keren banget ! Makasih udh order lg bos :D RT @PrakosoArief JaketBolaBdg sudah sampai nih gan ,Positif
127,"Order TTI Harga Ekonomis Pin 7D19BDDD tidak sampai menunggu berjam jam, trending topic nya langsung up, makasih banget loh, :D",Positif
128,"Ga nyesel belanja di RUDI SHOP, kpan2 order lg deh :)""@RudiPakpahan2: Samasama :DRT @DeanFreya: Makasih gan, barang nya bagus (y)""",Positif
129,"Thanks for order gan :) RT @ardiancondroo: @Bola18ID pesanan gue udah sampe gan,,makasih """,Positif
130,"Makasih ud order gann :p RT @arrivehere Gan @vanD_Jrs , Makasih banyak nih, barangnya tjakep n nyampenya cepet.. ",Positif
131,"Siap gan, thx ud order :) RT @Andikaiswara @vanD_Jrs gak nyesel pesen disini,transaksi cepat& memuaskan.makasih gan",Positif
132,Makasih gan. ditunggu next ordernya :) @Briyandidi Pelik nitch sam @donquixote_fthr kemaren order sekarang udah sampee :***,Positif
133,@iphoners777 yuhuuuu.. makasih banyak sis.. udah pemesanan ke 3 kalinya dan tidak pernah mengecewakan :),Positif
134,":) RT @adlanarya Ya gan sama2 :) ""@bfpclothing_ID: makasih gan sudah order :) RT @adlanarya barang nya udh sampe gan tq ya , RECOMMENDED",Positif
135,"makasih gan sudah order :) RT @adlanarya barang nya udh sampe gan tq ya , RECOMMENDED bgt deh penjual yang satu ini , jgn ragu2 ya",Positif
136,Barangnya udh sampe sis ;;) makasih yah sis :) tidak mengecewakan brngnya sis ;) @GraciaKshop,Positif
137,"Makasih gan ;) ""@MGJStore: @niearisefull Order Ransel MU nya ya gan, Testimoni dan Produk Lain Cek Favorit :D SMS """,Positif
138,@79Jersey makasih gan order kedua udah sampai dinandung! Cuma satu hari! Makasih banyak ya gan :D ,Positif
139,"Yoo sama2 :D @88_jerseys: @Fajar_Lamps8 makasih udh order gan :D""",Positif
140,"Sama2 bro makasih udah order lagi disini :) RT @Al_izzaaa: JaketBolaBdg tshirt nya udh nyampe gan, ini kedua kali :) ",Positif
141,"Sama2 bro, thx ud order, jgn kapok2 yaa :D RT @IrfanN21_ @vanD_Jrs makasih gan jersey dah sampee :3 ",Positif
142,@tactees amin gan makasih :) kalo ada yg cocok ntar sya order lg gampang :),Positif
143,"@EF_StoreID Makasih Gan,.Barangnya Keren Baangeeett Matur Nuwun Nggih :) Next Time tak Order lagi ",Positif
144,"Wih sama-sama gan,ditunggu next order :) RT @febisetyawan: @/Tomat48 sist, makasih pp nya udh nyampe^^ hehe https://twitter.com/febisetyawan/status/494474477682442242/photo/1pic.twitter.com/fVzS9FYBwB ",Positif
145,"Yeay ^^RT @AQyulbo: Makasih @vindoshop :) designnya keren,bener2 tidak mengecewakan. ditunggu produk2 kerennya https://twitter.com/AQyulbo/status/491531655652179968/photo/1pic.twitter.com/LlaSZ4aV6I ",Positif
146,"Siap bro sama2, makasi ud order :) RT @RahmadiShlh Kiriman sudah datang gan, makasih :) @vanD_Jrs https://twitter.com/RahmadiShlh/status/491092631527493632/photo/1pic.twitter.com/zmwq7ZvMxi ",Positif
147,"@OzackStore : jaket'a udah d'terima gan, bener"" gak nyesel, meskipun k'terima'a agak k'tunda, makasih ya gan, d'tnggu order berikut'a..:D",Positif
148,sama-sama makasih udah order bro Rudi :) RT @rudikoekang JaketBolaBdg gan sweater udah nyampe.. Makasih ya,Positif
149,"@Grosir_ID gan, paketan udah nyampe rumah dgn selamat. Makasih, nanti order lagi :D",Positif
150,"@fabulousteensxo barangnya sudah sampai dengan selamat, makasih yaaa :D | tidak mengecewakan (y) hehe",Positif
